 Mortalidade - Maranhão
Óbitos p/Residênc por Município e Ano do Óbito
Categoria CID-10: C18   Neopl malig do colon
Período:2009-2018
"Município";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"Total"
"210005 Açailândia";2;2;1;1;3;3;1;1;1;2;17
"210015 Água Doce do Maranhão";-;-;-;-;-;-;1;-;-;-;1
"210020 Alcântara";-;-;-;-;-;-;1;-;1;1;3
"210040 Altamira do Maranhão";1;-;-;-;-;-;-;-;-;-;1
"210043 Alto Alegre do Maranhão";-;-;-;-;-;-;-;1;1;-;2
"210047 Alto Alegre do Pindaré";-;-;1;-;-;-;1;-;1;-;3
"210055 Amapá do Maranhão";-;-;-;-;-;-;-;-;1;-;1
"210060 Amarante do Maranhão";-;1;-;-;-;-;-;1;-;-;2
"210070 Anajatuba";-;-;-;-;-;-;-;1;-;-;1
"210080 Anapurus";-;-;-;1;-;-;-;-;-;-;1
"210090 Araioses";-;1;1;-;-;1;-;-;1;-;4
"210095 Arame";-;-;-;1;-;1;-;-;-;-;2
"210100 Arari";-;-;1;-;-;1;-;-;1;1;4
"210120 Bacabal";-;1;-;1;2;-;-;1;-;1;6
"210125 Bacabeira";1;-;-;-;-;-;-;-;-;-;1
"210140 Balsas";-;-;-;-;-;1;1;1;-;-;3
"210160 Barra do Corda";1;-;2;1;-;1;-;1;3;4;13
"210170 Barreirinhas";1;-;1;-;2;-;-;-;-;-;4
"210190 Bequimão";-;-;-;-;1;-;1;-;1;-;3
"210200 Bom Jardim";-;-;-;-;-;1;-;1;-;-;2
"210207 Bom Lugar";1;-;-;-;-;-;-;-;-;-;1
"210210 Brejo";-;-;1;-;-;-;-;-;1;1;3
"210220 Buriti";-;-;-;-;-;-;-;1;-;-;1
"210230 Buriti Bravo";-;-;1;-;-;-;-;-;-;-;1
"210232 Buriticupu";-;1;-;-;-;-;-;1;1;1;4
"210237 Cachoeira Grande";-;-;-;-;-;-;1;1;-;-;2
"210240 Cajapió";-;-;-;1;-;1;-;-;-;-;2
"210255 Campestre do Maranhão";-;1;-;-;-;-;-;-;-;-;1
"210260 Cândido Mendes";1;-;-;-;-;-;-;-;1;-;2
"210270 Cantanhede";1;-;-;-;-;1;-;-;1;1;4
"210280 Carolina";-;1;-;-;-;1;-;1;-;3;6
"210290 Carutapera";-;-;-;-;-;1;-;1;1;-;3
"210300 Caxias";1;1;-;-;-;-;1;-;1;2;6
"210320 Chapadinha";1;2;2;2;2;2;2;1;2;-;16
"210330 Codó";-;1;-;1;2;-;-;2;1;-;7
"210340 Coelho Neto";-;-;-;-;-;-;-;1;1;-;2
"210350 Colinas";-;-;-;-;-;-;1;1;-;1;3
"210355 Conceição do Lago-Açu";-;-;-;-;-;1;-;-;-;-;1
"210360 Coroatá";-;-;-;2;-;-;1;-;2;-;5
"210370 Cururupu";-;-;-;-;-;1;-;-;-;-;1
"210380 Dom Pedro";-;-;-;-;-;-;-;-;1;-;1
"210400 Esperantinópolis";-;-;-;-;-;-;1;-;-;-;1
"210405 Estreito";-;-;-;1;-;-;-;-;-;1;2
"210408 Fernando Falcão";-;-;-;-;-;-;-;1;-;-;1
"210409 Formosa da Serra Negra";-;-;-;-;-;1;-;-;-;-;1
"210410 Fortaleza dos Nogueiras";-;-;-;-;-;-;1;-;-;-;1
"210420 Fortuna";-;-;-;-;-;-;-;-;-;1;1
"210430 Godofredo Viana";-;-;-;-;-;-;-;-;-;1;1
"210440 Gonçalves Dias";-;-;-;-;-;-;-;-;1;-;1
"210450 Governador Archer";-;-;-;-;1;-;1;-;-;-;2
"210462 Governador Luiz Rocha";-;-;-;1;-;-;-;1;-;-;2
"210465 Governador Newton Bello";-;-;-;1;-;-;1;-;-;-;2
"210467 Governador Nunes Freire";1;-;-;-;-;-;-;-;-;-;1
"210470 Graça Aranha";-;-;-;-;-;-;-;-;1;-;1
"210480 Grajaú";-;1;-;-;-;-;1;-;1;1;4
"210490 Guimarães";-;-;-;-;-;1;1;-;-;-;2
"210510 Icatu";-;-;-;-;-;-;-;-;-;1;1
"210515 Igarapé do Meio";-;-;-;-;1;1;-;-;-;-;2
"210520 Igarapé Grande";-;-;-;-;1;-;-;1;-;-;2
"210530 Imperatriz";5;3;6;8;4;3;7;3;10;8;57
"210540 Itapecuru Mirim";-;-;-;-;-;1;-;1;2;1;5
"210542 Itinga do Maranhão";-;-;-;-;-;1;1;-;-;-;2
"210550 João Lisboa";-;-;-;1;-;1;-;-;-;-;2
"210560 Joselândia";1;1;-;-;-;-;-;-;1;1;4
"210565 Junco do Maranhão";-;-;-;-;-;-;1;-;-;-;1
"210570 Lago da Pedra";-;1;-;-;-;-;-;1;1;-;3
"210594 Lago dos Rodrigues";-;-;-;-;-;-;-;1;-;-;1
"210590 Lago Verde";1;-;-;1;1;-;-;-;-;-;3
"210592 Lagoa do Mato";-;-;-;-;-;-;-;1;-;1;2
"210596 Lagoa Grande do Maranhão";-;-;-;-;-;-;-;-;1;-;1
"210600 Lima Campos";-;-;-;-;-;1;-;-;-;-;1
"210610 Loreto";-;-;-;-;-;-;-;-;-;1;1
"210632 Maracaçumé";-;-;-;-;-;1;1;1;-;-;3
"210640 Mata Roma";1;-;-;-;-;-;-;-;2;-;3
"210650 Matinha";-;-;-;-;-;-;-;1;-;-;1
"210660 Matões";-;-;-;-;1;-;-;-;1;-;2
"210667 Milagres do Maranhão";-;1;-;-;-;-;-;-;-;-;1
