year,month,state,deaths
1970,1,AM,1
1970,1,BA,6
1970,1,CE,9
1970,1,DF,52
1970,1,ES,65
1970,1,GO,163
1970,1,MA,1
1970,1,MS,7
1970,1,MG,4836
1970,1,PB,2
1970,1,PR,551
1970,1,PE,1913
1970,1,PI,2
1970,1,RJ,41
1970,1,RN,9
1970,1,RS,786
1970,1,SC,266
1970,1,SP,13433
1970,1,SE,57
1970,2,AL,1
1970,2,BA,8
1970,2,CE,14
1970,2,DF,59
1970,2,ES,74
1970,2,GO,138
1970,2,MA,1
1970,2,MS,14
1970,2,MG,3968
1970,2,PR,555
1970,2,PE,1827
1970,2,RJ,39
1970,2,RN,29
1970,2,RS,728
1970,2,SC,233
1970,2,SP,11707
1970,2,SE,46
1970,3,AC,1
1970,3,BA,4
1970,3,CE,12
1970,3,DF,81
1970,3,ES,91
1970,3,GO,156
1970,3,MS,3
1970,3,MG,4347
1970,3,PR,568
1970,3,PE,2016
1970,3,RJ,45
1970,3,RN,11
1970,3,RS,822
1970,3,SC,255
1970,3,SP,13218
1970,3,SE,54
1970,4,AP,1
1970,4,BA,1
1970,4,CE,14
1970,4,DF,64
1970,4,ES,57
1970,4,GO,146
1970,4,MA,1
1970,4,MS,9
1970,4,MG,4150
1970,4,PB,1
1970,4,PR,1689
1970,4,PE,2168
1970,4,RJ,26
1970,4,RN,6
1970,4,RS,815
1970,4,SC,227
1970,4,SP,12897
1970,4,SE,62
1970,5,BA,5
1970,5,CE,13
1970,5,DF,57
1970,5,ES,85
1970,5,GO,125
1970,5,MA,1
1970,5,MS,3
1970,5,MG,4554
1970,5,PB,1
1970,5,PR,620
1970,5,PE,2221
1970,5,RJ,38
1970,5,RN,3
1970,5,RS,906
1970,5,SC,214
1970,5,SP,13467
1970,5,SE,51
1970,6,BA,7
1970,6,CE,8
1970,6,DF,62
1970,6,ES,78
1970,6,GO,120
1970,6,MS,8
1970,6,MG,4984
1970,6,PB,4
1970,6,PR,1236
1970,6,PE,1825
1970,6,RJ,42
1970,6,RN,30
1970,6,RS,973
1970,6,SC,247
1970,6,SP,14354
1970,6,SE,34
1970,7,BA,9
1970,7,CE,6
1970,7,DF,69
1970,7,ES,123
1970,7,GO,208
1970,7,MS,16
1970,7,MG,5166
1970,7,PR,1303
1970,7,PE,1992
1970,7,RJ,45
1970,7,RN,4
1970,7,RS,1248
1970,7,SC,307
1970,7,SP,15504
1970,7,SE,56
1970,8,BA,3
1970,8,CE,11
1970,8,DF,58
1970,8,ES,115
1970,8,GO,206
1970,8,MA,2
1970,8,MS,6
1970,8,MG,4838
1970,8,PR,608
1970,8,PE,1961
1970,8,RJ,46
1970,8,RN,4
1970,8,RS,952
1970,8,SC,235
1970,8,SP,13839
1970,8,SE,67
1970,9,AC,1
1970,9,AL,1
